85
1: 0(0)->19(597)->0(807)
2: 0(0)->351(412)->484(559)->655(652)->37(854)->0(1028)
3: 0(0)->770(321)->410(666)->552(794)->688(899)->0(1137)
4: 0(0)->606(239)->571(561)->652(781)->258(948)->0(1158)
5: 0(0)->598(286)->636(650)->232(747)->772(840)->443(1060)->0(1369)
6: 0(0)->155(236)->245(327)->584(470)->524(679)->89(771)->587(863)->130(959)->0(1112)
7: 0(0)->727(231)->757(350)->517(443)->665(536)->775(629)->435(725)->781(947)->0(1183)
8: 0(0)->388(219)->800(420)->702(513)->288(612)->270(802)->666(920)->111(1012)->0(1212)
9: 0(0)->488(218)->8(313)->126(528)->640(670)->39(761)->588(853)->459(1079)->0(1251)
10: 0(0)->594(224)->673(405)->197(534)->562(661)->782(756)->613(853)->679(948)->0(1274)
11: 0(0)->662(215)->710(371)->284(466)->140(557)->799(803)->582(895)->402(1027)->0(1291)
12: 0(0)->449(205)->122(526)->53(640)->293(733)->539(828)->555(923)->512(1043)->0(1374)
13: 0(0)->625(186)->333(479)->445(656)->682(750)->564(842)->58(935)->480(1053)->0(1376)
14: 0(0)->3(211)->40(558)->51(649)->114(829)->518(921)->795(1096)->689(1191)->0(1460)
15: 0(0)->7(56)->496(236)->88(341)->494(446)->393(538)->604(630)->62(724)->231(819)->0(949)
16: 0(0)->335(145)->369(240)->470(344)->620(437)->259(547)->533(641)->359(757)->507(863)->0(1103)
17: 0(0)->225(238)->573(331)->347(461)->5(552)->415(647)->203(745)->693(843)->102(935)->0(1264)
18: 0(0)->761(190)->536(449)->661(542)->295(637)->510(730)->24(827)->581(919)->579(1012)->0(1302)
19: 0(0)->744(183)->417(377)->544(557)->305(656)->483(748)->110(839)->281(933)->566(1027)->0(1345)
20: 0(0)->346(197)->319(461)->451(558)->70(653)->694(747)->667(841)->621(951)->734(1183)->0(1352)
21: 0(0)->663(145)->718(482)->131(590)->139(682)->15(786)->23(904)->144(1031)->458(1126)->0(1357)
22: 0(0)->83(208)->44(552)->57(670)->113(762)->465(856)->181(947)->758(1040)->210(1323)->0(1500)
23: 0(0)->691(75)->461(223)->722(315)->737(409)->91(500)->188(598)->607(691)->20(783)->219(902)->0(1104)
24: 0(0)->34(136)->600(229)->601(322)->593(440)->696(573)->71(666)->767(759)->611(862)->241(956)->0(1222)
25: 0(0)->427(111)->379(388)->321(524)->173(615)->198(706)->572(798)->283(890)->157(986)->326(1084)->0(1274)
26: 0(0)->505(205)->254(344)->479(437)->457(530)->125(626)->551(729)->36(825)->648(1009)->272(1102)->0(1415)
27: 0(0)->28(200)->72(292)->642(559)->116(665)->77(760)->787(853)->747(944)->633(1037)->499(1130)->0(1438)
28: 0(0)->45(185)->421(464)->614(604)->769(701)->263(797)->215(924)->322(1017)->230(1126)->474(1220)->0(1481)
29: 0(0)->794(116)->68(272)->164(404)->622(579)->391(672)->450(764)->332(934)->719(1043)->529(1190)->0(1498)
30: 0(0)->477(200)->797(529)->514(628)->75(722)->190(821)->526(915)->294(1008)->548(1103)->724(1207)->0(1517)
31: 0(0)->608(159)->590(357)->452(449)->328(593)->765(686)->356(808)->643(939)->183(1134)->534(1232)->0(1539)
32: 0(0)->654(202)->362(469)->559(562)->466(655)->17(757)->790(855)->401(958)->444(1054)->646(1226)->0(1549)
33: 0(0)->349(181)->442(475)->687(594)->557(813)->475(905)->175(996)->66(1089)->766(1182)->699(1274)->0(1559)
34: 0(0)->576(154)->132(484)->280(580)->752(675)->143(770)->692(865)->478(959)->273(1103)->721(1243)->0(1566)
35: 0(0)->217(204)->184(563)->248(661)->631(752)->486(880)->65(973)->542(1069)->121(1161)->171(1283)->0(1581)
36: 0(0)->211(177)->664(474)->127(597)->389(710)->660(801)->177(1025)->324(1121)->156(1214)->229(1372)->0(1629)
37: 0(0)->109(103)->690(388)->265(530)->43(686)->481(782)->438(1008)->502(1103)->677(1194)->485(1342)->0(1666)
38: 0(0)->743(41)->79(163)->577(255)->626(348)->741(441)->81(532)->729(623)->95(715)->394(809)->208(984)->0(1125)
39: 0(0)->713(31)->25(126)->352(284)->193(378)->257(473)->264(568)->336(671)->585(768)->500(863)->240(1041)->0(1253)
40: 0(0)->501(151)->255(255)->439(349)->545(442)->543(533)->312(632)->271(732)->330(826)->119(918)->605(1030)->0(1271)
41: 0(0)->706(67)->616(204)->491(295)->612(419)->771(512)->429(604)->334(698)->440(793)->52(946)->513(1069)->0(1275)
42: 0(0)->619(134)->64(264)->471(366)->180(461)->314(559)->547(654)->178(750)->711(843)->745(937)->537(1058)->0(1318)
43: 0(0)->695(97)->556(190)->343(393)->279(515)->106(608)->553(705)->246(805)->124(945)->366(1041)->224(1177)->0(1366)
44: 0(0)->453(179)->530(311)->469(403)->209(494)->300(588)->107(685)->32(784)->586(917)->9(1011)->285(1140)->0(1372)
45: 0(0)->212(104)->191(354)->738(447)->316(540)->48(634)->59(731)->783(823)->610(918)->172(1054)->371(1201)->0(1406)
46: 0(0)->342(184)->509(277)->138(467)->789(561)->506(654)->639(750)->550(845)->730(938)->554(1033)->431(1134)->0(1418)
47: 0(0)->508(223)->681(316)->637(408)->503(528)->1(622)->108(714)->746(809)->680(902)->170(1029)->683(1122)->0(1448)
48: 0(0)->595(59)->237(209)->308(429)->764(523)->430(683)->409(778)->250(870)->780(969)->650(1064)->160(1163)->0(1471)
49: 0(0)->424(122)->776(215)->195(394)->519(540)->498(636)->630(738)->395(921)->4(1012)->707(1106)->589(1198)->0(1473)
50: 0(0)->233(136)->145(295)->723(496)->100(592)->16(721)->791(812)->382(903)->189(1017)->54(1110)->194(1205)->0(1476)
51: 0(0)->341(175)->247(268)->92(437)->14(530)->412(625)->624(723)->73(815)->289(907)->69(1000)->286(1145)->0(1477)
